Período;Mes;año;Zona;Provincia;Cantón;Oeps / Ueps;Sector Productivo;Tipo de Acompañamiento;Servicio DPC;Detalle del Servicio;No. Beneficiarios
1. Trimestre;Marzo;2021;1;IMBABURA;IBARRA;OEPS  ;Agroalimentario;Certificaciones INEN;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;22
4. Trimestre;Octubre;2021;2;ORELLANA;ORELLANA;OEPS;Servicios;Asesoramiento Certificación INEN;Asistencia Técnica Administrativa;Asesoría personalizada al beneficiario para mejoras en aspectos administrativos ;1
2. Trimestre;Abril;2021;1;SUCUMBIOS;LAGO AGRIO;OEPS  ;Construcción;Certificaciones INEN;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;36
3. Trimestre;Septiembre;2021;DMQ;PICHINCHA;CAYAMBE;OEPS;Servicios;Capacitación manipulación alimentos;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;41
1. Trimestre;Febrero;2021;4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;OEPS  ;Textil;Capital de Trabajo;Articulación Financiamiento;Acompañamiento al beneficiario para el acceso a fuentes de financiamiento;27
3. Trimestre;Septiembre;2021;3;TUNGURAHUA;AMBATO;UEP;Agroalimentario;Mejora Flujo Proceso Productivo;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;1
3. Trimestre;Septiembre;2021;2;ORELLANA;ORELLANA;OEPS;No priorizado en el cambio de la matriz productiva;Certificaciones INEN;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;1
2. Trimestre;Junio;2021;3;TUNGURAHUA;QUERO;OEPS  ;Agroalimentario;Evaluación Herramienta Ex-Post;Asistencia Técnica Administrativa;Asesoría personalizada al beneficiario para mejoras en aspectos administrativos ;0
3. Trimestre;Septiembre;2021;6;AZUAY;SEVILLA DE ORO;OEPS;No priorizado en el cambio de la matriz productiva;Certificaciones INEN;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;13
2. Trimestre;Mayo;2021;5;SANTA ELENA;MILAGRO;OEPS  ;Agroalimentario;Activos Fijos;Articulación Financiamiento;Acompañamiento al beneficiario para el acceso a fuentes de financiamiento;10
2. Trimestre;Mayo;2021;3;CHIMBORAZO;RIOBAMBA;OEPS  ;Textil;Mejora Flujo Proceso Productivo;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;9
