"id_registro","anio","provincia","pea","salario_promedio","id_registro (Right)","fecha","provincia (Right)","sector_economico","poblacion_economicamente_activa","personas_empleadas","personas_desempleadas","tasa_desempleo","salario_promedio (Right)","inflacion","pib_millones"
26,2025,"Azuay",76233,498.54,26,"2015-02-01","Bolivar","Servicios",76192,72539,3653,4.8,347.47,4.32,84615.69
27,2025,"Pichincha",22010,1293.84,27,"2015-02-01","Cañar","Servicios",83451,78329,5122,6.14,353.94,1.81,85858.43
28,2024,"Azuay",16600,648.69,28,"2015-02-01","Carchi","Manufactura",94222,90112,4110,4.36,362.53,0.89,84190.43
29,2026,"Pichincha",490789,968.27,29,"2015-02-01","Chimborazo","Agricultura",103135,98329,4806,4.66,348.16,0.08,85655.51
30,2026,"Guayas",433878,1883.56,30,"2015-02-01","Cotopaxi","Manufactura",105576,101129,4447,4.21,347.57,0.96,85844.89
31,2024,"Manabi",144137,1986.27,31,"2015-02-01","El Oro","Agricultura",116186,109531,6655,5.73,355.28,0.99,84864.86
32,2025,"Pichincha",195996,1522.82,32,"2015-02-01","Esmeraldas","Agricultura",115088,108210,6878,5.98,373.55,1.58,84555.51
33,2026,"Azuay",102765,1233,33,"2015-02-01","Galapagos","Manufactura",121781,116689,5092,4.18,343.37,3.56,86502.96
34,2025,"Pichincha",70323,915.97,34,"2015-02-01","Guayas","Agricultura",129954,122666,7288,5.61,357.51,0.44,83417.44
35,2024,"Guayas",28346,1403.2,35,"2015-02-01","Imbabura","Servicios",140767,131725,9042,6.42,365.09,4.24,82989.54
36,2024,"Guayas",485609,1134.7,36,"2015-02-01","Loja","Comercio",140417,130719,9698,6.91,345.65,4.61,86743.48
37,2024,"Manabi",487681,1679.56,37,"2015-02-01","Los Rios","Comercio",154731,147550,7181,4.64,354.16,1.83,82793.18
38,2024,"Manabi",285705,953.25,38,"2015-02-01","Manabi","Servicios",157859,147157,10702,6.78,366.86,3.86,83926.25
39,2026,"Azuay",322502,1375.22,39,"2015-02-01","Morona Santiago","Servicios",168155,160648,7507,4.46,362.17,1.27,87343.55
40,2024,"Guayas",168696,1794.25,40,"2015-02-01","Napo","Servicios",167849,157369,10480,6.24,359.11,0,85420.89
41,2024,"Manabi",368143,1868.41,41,"2015-02-01","Orellana","Agricultura",176099,168755,7344,4.17,341.74,2.39,86756.71
42,2026,"Manabi",36454,1621.29,42,"2015-02-01","Pastaza","Agricultura",184042,174451,9591,5.21,362.16,4.69,85348.38
43,2024,"Manabi",466690,1180.97,43,"2015-02-01","Pichincha","Manufactura",188201,178307,9894,5.26,376.39,2.79,85113.91
44,2024,"Loja",254061,1619.63,44,"2015-02-01","Santa Elena","Construccion",198674,189305,9369,4.72,351,1.8,85858.45
45,2024,"Loja",349041,615.24,45,"2015-02-01","Santo Domingo de los Tsachilas","Servicios",201384,193273,8111,4.03,343,2.99,85314.97
46,2026,"Loja",147070,704.96,46,"2015-02-01","Sucumbios","Manufactura",210357,198751,11606,5.52,341.75,0.4,84245.04
47,2026,"Azuay",485937,1491.77,47,"2015-02-01","Tungurahua","Servicios",219587,208927,10660,4.85,351.1,2.02,85216.09
49,2025,"Azuay",461004,1550.33,49,"2015-03-01","Azuay","Servicios",71433,68329,3104,4.35,349.89,0.27,85266.12
50,2025,"Azuay",477190,1436.73,50,"2015-03-01","Bolivar","Comercio",77245,72493,4752,6.15,349.56,0.78,85671.19
51,2026,"Pichincha",46268,1782.97,51,"2015-03-01","Cañar","Construccion",84604,78922,5682,6.72,355.94,4.18,82961.49
52,2025,"Azuay",395036,812,52,"2015-03-01","Carchi","Comercio",87907,84382,3525,4.01,349.48,3.79,85685.57
53,2026,"Manabi",190902,1002.6,53,"2015-03-01","Chimborazo","Manufactura",102918,96623,6295,6.12,376.8,2.67,83059.37
54,2025,"Loja",67573,1399.51,54,"2015-03-01","Cotopaxi","Agricultura",109513,105015,4498,4.11,356.19,1.66,85262.63
55,2025,"Azuay",128802,472.94,55,"2015-03-01","El Oro","Construccion",112320,106599,5721,5.09,340.6,4.65,87360.98
56,2025,"Manabi",407859,498.47,56,"2015-03-01","Esmeraldas","Comercio",117406,110308,7098,6.05,361.4,3.23,84268.39
57,2025,"Pichincha",391632,1618.56,57,"2015-03-01","Galapagos","Manufactura",123192,114843,8349,6.78,371,0.95,83312.51
58,2026,"Pichincha",181501,702.77,58,"2015-03-01","Guayas","Manufactura",134110,128646,5464,4.07,376.23,3.6,84160.93
59,2024,"Pichincha",151359,531.55,59,"2015-03-01","Imbabura","Comercio",138421,132224,6197,4.48,340.55,3.42,84412.71
60,2026,"Pichincha",399411,1765.14,60,"2015-03-01","Loja","Manufactura",144389,137749,6640,4.6,371.82,4.57,84248.29
61,2024,"Guayas",117310,-500,61,"2015-03-01","Los Rios","Construccion",151092,144942,6150,4.07,373.57,0.72,84141.31
62,2026,"Loja",11909,1659.66,62,"2015-03-01","Manabi","Agricultura",159888,150416,9472,5.92,360.45,1.82,87405.75
63,2024,"Manabi",414436,1800.74,63,"2015-03-01","Morona Santiago","Agricultura",162719,151929,10790,6.63,378.34,1.08,85402.95
64,2026,"Loja",392322,891.8,64,"2015-03-01","Napo","Servicios",169301,159499,9802,5.79,356.46,1.53,86432.14
65,2025,"Loja",327889,1763.53,65,"2015-03-01","Orellana","Agricultura",176114,167035,9079,5.16,367.35,2.76,83773.61
66,2024,"Azuay",488291,1571.05,66,"2015-03-01","Pastaza","Manufactura",189433,176596,12837,6.78,368.68,2.55,86097.15
67,2026,"Guayas",40470,1454.28,67,"2015-03-01","Pichincha","Agricultura",193577,183330,10247,5.29,363.93,4.73,87103.85
68,2025,"Pichincha",190118,1190.35,68,"2015-03-01","Santa Elena","Servicios",199225,188226,10999,5.52,366.89,3.23,84130.91
69,2026,"Manabi",414651,1420.79,69,"2015-03-01","Santo Domingo de los Tsachilas","Manufactura",203085,193793,9292,4.58,368.93,3.22,84395.73
70,2025,"Pichincha",492603,1146.76,70,"2015-03-01","Sucumbios","Comercio",217019,206379,10640,4.9,350.48,2.6,82502.03
71,2024,"Manabi",36960,1309.23,71,"2015-03-01","Tungurahua","Servicios",223892,210862,13030,5.82,366.03,1.41,84708.93
72,2025,"Manabi",419434,775.81,72,"2015-03-01","Zamora Chinchipe","Construccion",228837,214235,14602,6.38,365.35,4.79,86179.81
73,2026,"Azuay",146598,1441.36,73,"2015-04-01","Azuay","Manufactura",75263,70754,4509,5.99,377.08,2.98,82966.94
74,2024,"Azuay",10941,1241.34,74,"2015-04-01","Bolivar","Comercio",78572,74900,3672,4.67,348.79,0.76,82622.13
75,2026,"Pichincha",349881,712.21,75,"2015-04-01","Cañar","Comercio",81349,76984,4365,5.37,367.73,4.4,85378.35
76,2025,"Manabi",390832,1071.1,76,"2015-04-01","Carchi","Agricultura",94924,89989,4935,5.2,374.71,0.48,85938.11
77,2024,"Azuay",156252,1847.23,77,"2015-04-01","Chimborazo","Servicios",100459,95782,4677,4.66,357.58,3.96,85979.56
78,2025,"Guayas",158101,1911.88,78,"2015-04-01","Cotopaxi","Servicios",104245,97206,7039,6.75,357.59,0.34,83166.7
79,2025,"Manabi",446131,1533.19,79,"2015-04-01","El Oro","Servicios",115988,109277,6711,5.79,363.51,4.74,86957.13
80,2026,"Loja",102556,692,80,"2015-04-01","Esmeraldas","Comercio",120491,112670,7821,6.49,368.75,2.6,86986.04
81,2025,"Guayas",35552,1378.73,81,"2015-04-01","Galapagos","Servicios",127542,121449,6093,4.78,369.63,1.01,85688.31
82,2025,"Azuay",86276,408.21,82,"2015-04-01","Guayas","Construccion",134777,126852,7925,5.88,350.43,1.16,82887.42
83,2024,"Loja",445510,1586.94,83,"2015-04-01","Imbabura","Manufactura",139009,132116,6893,4.96,348.25,2.56,83191.87
84,2024,"Azuay",227005,1376.55,84,"2015-04-01","Loja","Manufactura",143681,137657,6024,4.19,355.63,1.86,85213.06
85,2026,"Azuay",346527,516.39,85,"2015-04-01","Los Rios","Servicios",153728,145783,7945,5.17,339.78,3.78,87230.31
86,2024,"Azuay",486470,1310.28,86,"2015-04-01","Manabi","Comercio",159746,151071,8675,5.43,354.6,4.7,83993.06
87,2026,"Manabi",158710,560.98,87,"2015-04-01","Morona Santiago","Manufactura",169000,158451,10549,6.24,347.82,2.59,85516.26
88,2025,"Azuay",464990,463.65,88,"2015-04-01","Napo","Comercio",171322,162230,9092,5.31,366.17,-0.15,84180.65
89,2026,"Loja",59727,720.68,89,"2015-04-01","Orellana","Comercio",176224,164732,11492,6.52,360.36,4.57,87403.61
90,2026,"Loja",193530,1893.61,90,"2015-04-01","Pastaza","Comercio",189886,179076,10810,5.69,344.43,-0.16,85713.75
91,2025,"Azuay",352106,1019.54,91,"2015-04-01","Pichincha","Comercio",189835,181956,7879,4.15,352.07,1.71,83558.3
92,2024,"Guayas",483375,1571.55,92,"2015-04-01","Santa Elena","Agricultura",198085,185693,12392,6.26,342.28,4.11,83761.36
93,2026,"Azuay",241674,633.09,93,"2015-04-01","Santo Domingo de los Tsachilas","Agricultura",209033,200346,8687,4.16,341.74,4.75,83621.11
94,2025,"Azuay",99802,1494.29,94,"2015-04-01","Sucumbios","Manufactura",207373,193171,14202,6.85,345.1,0.76,82601.9
95,2026,"Pichincha",332955,1891.48,95,"2015-04-01","Tungurahua","Construccion",221291,207996,13295,6.01,366.98,2.69,83589.82
96,2024,"Pichincha",230616,1272.37,96,"2015-04-01","Zamora Chinchipe","Manufactura",222951,209981,12970,5.82,370.11,4.81,86091.79
97,2025,"Loja",45163,797.89,97,"2015-05-01","Azuay","Comercio",71146,68070,3076,4.32,366.09,-0.16,84059.79
98,2026,"Azuay",214176,616.1,98,"2015-05-01","Bolivar","Manufactura",79145,73744,5401,6.82,372.22,0.75,85460.49
100,2024,"Guayas",425632,407.94,100,"2015-05-01","Carchi","Construccion",86514,82153,4361,5.04,359.24,1.97,84352.85
101,2024,"Azuay",138827,546.06,101,"2015-05-01","Chimborazo","Comercio",92646,86579,6067,6.55,377.43,4.06,83027.69
102,2024,"Pichincha",415784,531.27,102,"2015-05-01","Cotopaxi","Servicios",101543,96155,5388,5.31,349.8,3.59,87327.37
103,2024,"Azuay",493461,911.18,103,"2015-05-01","El Oro","Manufactura",113555,107430,6125,5.39,351.89,4.08,85462.37
104,2026,"Guayas",428588,1609.81,104,"2015-05-01","Esmeraldas","Comercio",113651,108154,5497,4.84,361.79,2.09,86252.38
105,2025,"Loja",369592,917.23,105,"2015-05-01","Galapagos","Construccion",124340,119260,5080,4.09,347.48,4.21,83409.2
106,2025,"Loja",339772,1052.93,106,"2015-05-01","Guayas","Servicios",131003,124664,6339,4.84,361.23,2.86,86900.54
107,2025,"Loja",138741,878.11,107,"2015-05-01","Imbabura","Comercio",135155,129402,5753,4.26,369.33,3.52,84942.89
108,2025,"Pichincha",208633,1487.91,108,"2015-05-01","Loja","Manufactura",146663,138825,7838,5.34,355.18,-0.21,83971.18
109,2024,"Manabi",49792,950.13,109,"2015-05-01","Los Rios","Servicios",150236,141235,9001,5.99,352.75,1.66,85267.36
110,2026,"Guayas",38979,-500,110,"2015-05-01","Manabi","Manufactura",157236,149288,7948,5.06,348.22,2.1,84033.11
111,2026,"Azuay",184327,768.67,111,"2015-05-01","Morona Santiago","Manufactura",163583,156453,7130,4.36,346.41,2.54,86310.95
112,2024,"Azuay",212117,439.48,112,"2015-05-01","Napo","Agricultura",172945,164593,8352,4.83,362.87,2.82,86301.04
113,2025,"Azuay",329477,1364.95,113,"2015-05-01","Orellana","Manufactura",174789,166245,8544,4.89,367.32,1.61,84011.34
114,2024,"Manabi",491067,1969.97,114,"2015-05-01","Pastaza","Comercio",182701,175144,7557,4.14,376.76,-0.01,83960.68
115,2024,"Pichincha",464143,1199.08,115,"2015-05-01","Pichincha","Manufactura",186484,174143,12341,6.62,356.62,2.74,84846.98
116,2025,"Loja",200135,1980.01,116,"2015-05-01","Santa Elena","Comercio",192243,183098,9145,4.76,341.61,4.27,83070.44
117,2026,"Guayas",23092,1130.34,117,"2015-05-01","Santo Domingo de los Tsachilas","Construccion",199212,187796,11416,5.73,371.45,3.34,83258.64
118,2024,"Guayas",301132,791.31,118,"2015-05-01","Sucumbios","Servicios",205992,191611,14381,6.98,363.25,0.33,86322.22
119,2026,"Guayas",40643,1764.53,119,"2015-05-01","Tungurahua","Servicios",214891,201295,13596,6.33,350.89,1.72,87042.52
120,2026,"Pichincha",371746,1665.24,120,"2015-05-01","Zamora Chinchipe","Manufactura",224817,213765,11052,4.92,368.6,2.99,85548.15
121,2026,"Loja",141086,889,121,"2015-06-01","Azuay","Manufactura",68457,65176,3281,4.79,361.08,0.13,83699.33
122,2025,"Guayas",469754,1605.63,122,"2015-06-01","Bolivar","Construccion",71543,67805,3738,5.23,340.31,3.35,84849.56
123,2025,"Loja",274268,1014.93,123,"2015-06-01","Cañar","Servicios",82632,77585,5047,6.11,375.96,2.11,85936.92
125,2025,"Manabi",144991,738.09,125,"2015-06-01","Chimborazo","Construccion",92169,88318,3851,4.18,371.97,3.9,85475.22
126,2025,"Azuay",317198,726.09,126,"2015-06-01","Cotopaxi","Servicios",104695,100117,4578,4.37,376.71,3.35,85998.67
127,2026,"Manabi",154115,456.04,127,"2015-06-01","El Oro","Construccion",112847,106662,6185,5.48,356.28,0.13,82699.3
128,2024,"Pichincha",235107,1609.04,128,"2015-06-01","Esmeraldas","Servicios",120391,114672,5719,4.75,372.44,0.18,87309.56
129,2026,"Azuay",208522,648.63,129,"2015-06-01","Galapagos","Agricultura",126619,117943,8676,6.85,349.78,5,85861.41
130,2025,"Loja",57072,425.52,130,"2015-06-01","Guayas","Servicios",126370,119532,6838,5.41,346.26,3.15,87080.36
131,2024,"Azuay",16746,541.73,131,"2015-06-01","Imbabura","Construccion",137141,129044,8097,5.9,352.92,2.31,82956.21
132,2026,"Pichincha",25805,1437.85,132,"2015-06-01","Loja","Construccion",141760,133240,8520,6.01,366.75,4.25,84149.02
134,2024,"Azuay",72890,529.25,134,"2015-06-01","Manabi","Servicios",151399,140937,10462,6.91,378.52,1.84,85072.98
135,2026,"Azuay",402855,946.78,135,"2015-06-01","Morona Santiago","Comercio",163569,154999,8570,5.24,369.26,0.69,84308.9
136,2024,"Pichincha",209915,778.78,136,"2015-06-01","Napo","Comercio",163345,155814,7531,4.61,356.52,2.61,87138.36
138,2026,"Pichincha",270863,1947.33,138,"2015-06-01","Pastaza","Agricultura",184524,177068,7456,4.04,372.66,1.86,83623.5
139,2024,"Guayas",387608,1177.95,139,"2015-06-01","Pichincha","Construccion",189560,176592,12968,6.84,376.31,3.13,83269.86
140,2024,"Azuay",377106,415.51,140,"2015-06-01","Santa Elena","Comercio",196837,184798,12039,6.12,357.89,1.9,84912.5
141,2026,"Manabi",462409,1163.32,141,"2015-06-01","Santo Domingo de los Tsachilas","Manufactura",204031,194985,9046,4.43,368.85,0.71,85496.89
142,2025,"Guayas",108226,965.29,142,"2015-06-01","Sucumbios","Servicios",202643,192858,9785,4.83,376.37,3.89,84574.71
143,2026,"Manabi",429509,958.3,143,"2015-06-01","Tungurahua","Comercio",212377,198654,13723,6.46,362.48,1.2,83992.78
144,2024,"Guayas",454659,1634.12,144,"2015-06-01","Zamora Chinchipe","Comercio",216934,205351,11583,5.34,369.51,2.27,84162.2
145,2025,"Azuay",456567,1041.17,145,"2015-07-01","Azuay","Comercio",71410,66556,4854,6.8,348.55,4.31,87403.87
146,2024,"Manabi",474096,591.79,146,"2015-07-01","Bolivar","Comercio",74178,69306,4872,6.57,357.92,1.88,84090.88
147,2026,"Loja",417181,1998.04,147,"2015-07-01","Cañar","Agricultura",83080,77294,5786,6.97,345.08,3.9,85760.1
150,2026,"Loja",12806,1997.95,150,"2015-07-01","Cotopaxi","Agricultura",97187,91931,5256,5.41,366.71,4.84,84192.81
151,2025,"Loja",41889,1176.76,151,"2015-07-01","El Oro","Comercio",107748,100683,7065,6.56,351.67,4.25,84400.05
152,2026,"Azuay",220722,1021.02,152,"2015-07-01","Esmeraldas","Manufactura",117631,112800,4831,4.11,375.84,0.06,85655.81
153,2025,"Pichincha",456823,1739.27,153,"2015-07-01","Galapagos","Comercio",116650,110466,6184,5.3,373.9,0.22,85668.74
154,2026,"Manabi",110862,1439.63,154,"2015-07-01","Guayas","Construccion",124297,116738,7559,6.08,370.85,4.49,82729.95
155,2025,"Azuay",362989,1850.95,155,"2015-07-01","Imbabura","Manufactura",133848,126989,6859,5.12,361.64,0.47,85155.83
156,2025,"Manabi",464100,1999.19,156,"2015-07-01","Loja","Comercio",137162,130956,6206,4.53,366.33,2.93,84412.72
157,2026,"Guayas",314342,1926.14,157,"2015-07-01","Los Rios","Agricultura",150334,143676,6658,4.43,349.21,2.14,83769.89
158,2025,"Pichincha",86504,1962.16,158,"2015-07-01","Manabi","Construccion",154804,144427,10377,6.7,356.67,3.29,83289.88
159,2026,"Azuay",448412,428.67,159,"2015-07-01","Morona Santiago","Construccion",163211,155218,7993,4.9,357.27,4.8,85951.57
160,2025,"Pichincha",418174,1735.04,160,"2015-07-01","Napo","Construccion",163250,151826,11424,7,354.25,4.22,83033.27
161,2025,"Manabi",269493,1545.92,161,"2015-07-01","Orellana","Comercio",175807,167215,8592,4.89,372.2,3.41,82609.7
162,2024,"Loja",413855,1911.48,162,"2015-07-01","Pastaza","Servicios",177289,170155,7134,4.02,377.94,4.28,86391.56
163,2025,"Loja",353371,1596.2,163,"2015-07-01","Pichincha","Construccion",187333,175160,12173,6.5,348.2,4.49,86378.7
164,2026,"Guayas",264617,493.82,164,"2015-07-01","Santa Elena","Manufactura",189185,178005,11180,5.91,367.84,2.99,85888.82
165,2026,"Loja",220781,1467.91,165,"2015-07-01","Santo Domingo de los Tsachilas","Servicios",193591,180601,12990,6.71,356.63,3.13,84044.66
166,2024,"Pichincha",107045,903.12,166,"2015-07-01","Sucumbios","Manufactura",204379,191714,12665,6.2,368.9,0.18,83975.55
167,2026,"Azuay",369945,1146.02,167,"2015-07-01","Tungurahua","Construccion",208094,198946,9148,4.4,360.23,2.56,87357.45
168,2025,"Pichincha",83290,1528.71,168,"2015-07-01","Zamora Chinchipe","Construccion",213902,203697,10205,4.77,371.26,4.07,84909.24
169,2025,"Manabi",304285,1690.44,169,"2015-08-01","Azuay","Comercio",65067,61551,3516,5.4,348.02,0.1,86270.76
170,2024,"Pichincha",294915,1913.02,170,"2015-08-01","Bolivar","Comercio",78643,74635,4008,5.1,360.46,3.89,82569.59
171,2026,"Manabi",486624,1386.35,171,"2015-08-01","Cañar","Construccion",81881,76954,4927,6.02,371.9,3.26,85422.8
172,2024,"Loja",28172,1043.56,172,"2015-08-01","Carchi","Construccion",83949,78892,5057,6.02,376.73,2.2,85597.73
173,2026,"Manabi",272711,1961.4,173,"2015-08-01","Chimborazo","Construccion",98500,93906,4594,4.66,375.38,0.04,86619.28
174,2024,"Pichincha",370644,1353.86,174,"2015-08-01","Cotopaxi","Agricultura",101525,97109,4416,4.35,378.84,-0.06,82686.06
175,2026,"Manabi",161981,1607.54,175,"2015-08-01","El Oro","Servicios",102760,97926,4834,4.7,353.84,2.55,84443.23
176,2026,"Pichincha",168973,500.15,176,"2015-08-01","Esmeraldas","Comercio",114365,107776,6589,5.76,365.2,3.55,86927.07
177,2025,"Manabi",249332,1743.63,177,"2015-08-01","Galapagos","Comercio",120516,112301,8215,6.82,347.69,1.18,85951.4
178,2024,"Loja",76842,895.75,178,"2015-08-01","Guayas","Construccion",124029,115885,8144,6.57,360.78,0.23,85928.4
179,2026,"Azuay",126541,1227.79,179,"2015-08-01","Imbabura","Comercio",127484,120862,6622,5.19,372.92,0.71,83110.8
180,2025,"Azuay",37578,1786.98,180,"2015-08-01","Loja","Construccion",134324,126281,8043,5.99,339.85,3.1,85485.73
181,2025,"Guayas",499861,1256.64,181,"2015-08-01","Los Rios","Servicios",143144,133172,9972,6.97,372.19,3.87,83526.03
182,2025,"Guayas",51789,1435.54,182,"2015-08-01","Manabi","Servicios",148879,140305,8574,5.76,369.97,4.01,83664.99
183,2026,"Pichincha",415904,1399.54,183,"2015-08-01","Morona Santiago","Manufactura",151863,144526,7337,4.83,360.61,4.92,87437.64
184,2026,"Pichincha",407975,570.2,184,"2015-08-01","Napo","Manufactura",159949,150379,9570,5.98,370.6,-0.16,82574.3
185,2024,"Manabi",169359,1948.42,185,"2015-08-01","Orellana","Servicios",174126,165470,8656,4.97,368.67,0.62,82762
186,2025,"Manabi",178277,1285.42,186,"2015-08-01","Pastaza","Agricultura",172672,161903,10769,6.24,359.53,2.22,86390.09
187,2026,"Loja",199955,1328.78,187,"2015-08-01","Pichincha","Servicios",184546,174375,10171,5.51,370.33,4.71,82716.83
188,2024,"Guayas",325951,1868,188,"2015-08-01","Santa Elena","Comercio",188413,178288,10125,5.37,358.16,4.81,82804.13
189,2024,"Azuay",237030,862.3,189,"2015-08-01","Santo Domingo de los Tsachilas","Agricultura",196787,184866,11921,6.06,341.94,2.3,87048.5
190,2025,"Azuay",33132,1236.82,190,"2015-08-01","Sucumbios","Servicios",201411,189680,11731,5.82,364.32,0.05,83875.08
191,2026,"Azuay",176530,1547.76,191,"2015-08-01","Tungurahua","Comercio",207793,197107,10686,5.14,359.22,2.87,83974.49
192,2025,"Loja",354278,1924.1,192,"2015-08-01","Zamora Chinchipe","Servicios",210421,196998,13423,6.38,374.11,0.31,85773.56
193,2026,"Loja",164094,1015.74,193,"2015-09-01","Azuay","Comercio",66422,62909,3513,5.29,372.1,4.41,84569.07
194,2024,"Azuay",263130,1051.92,194,"2015-09-01","Bolivar","Manufactura",76020,71316,4704,6.19,349.2,1.36,84062.62
195,2026,"Guayas",49036,1295.66,195,"2015-09-01","Cañar","Construccion",83280,79782,3498,4.2,342.86,4.11,82966.15
196,2024,"Guayas",488120,822.02,196,"2015-09-01","Carchi","Agricultura",83946,79188,4758,5.67,352.19,2.81,85307.93
197,2024,"Pichincha",191116,1104.12,197,"2015-09-01","Chimborazo","Agricultura",94850,90050,4800,5.06,373.72,3.23,86251.42
199,2025,"Loja",396504,786.72,199,"2015-09-01","El Oro","Construccion",104404,97575,6829,6.54,343.6,1.56,85281.33
200,2024,"Guayas",198335,1981.48,200,"2015-09-01","Esmeraldas","Servicios",116441,110994,5447,4.68,369.7,1.97,85304.83
201,2025,"Pichincha",75320,1023.64,201,"2015-09-01","Galapagos","Manufactura",122461,117467,4994,4.08,349.7,4.62,86647.3
202,2025,"Azuay",40521,1781.66,202,"2015-09-01","Guayas","Manufactura",124122,116541,7581,6.11,339.24,1.34,84199.12
203,2024,"Azuay",382069,1300.87,203,"2015-09-01","Imbabura","Agricultura",135228,127153,8075,5.97,377.87,0.07,86204.85
204,2025,"Loja",285606,547.32,204,"2015-09-01","Loja","Construccion",140946,134399,6547,4.65,353.8,1.93,84204.48
205,2026,"Guayas",363272,652.68,205,"2015-09-01","Los Rios","Agricultura",147859,139300,8559,5.79,369.18,4.38,83277.9
206,2024,"Manabi",441930,1336.95,206,"2015-09-01","Manabi","Construccion",146201,139160,7041,4.82,356.68,3.21,84928.31
207,2026,"Manabi",427793,1252.98,207,"2015-09-01","Morona Santiago","Servicios",154701,145010,9691,6.26,350.33,0.3,84649.57
208,2024,"Loja",367503,1342.68,208,"2015-09-01","Napo","Agricultura",165447,156214,9233,5.58,378.38,1.33,83602.59
209,2025,"Loja",111399,1458.04,209,"2015-09-01","Orellana","Construccion",163905,156344,7561,4.61,369.57,4.71,86336.75
210,2026,"Loja",46913,1994.29,210,"2015-09-01","Pastaza","Servicios",175460,167811,7649,4.36,344.17,2.34,84653.28
211,2025,"Loja",66568,911.86,211,"2015-09-01","Pichincha","Agricultura",180160,170250,9910,5.5,341.88,4.12,86531
212,2026,"Guayas",263083,813.94,212,"2015-09-01","Santa Elena","Servicios",189842,182142,7700,4.06,362.03,4.58,86810.55
213,2026,"Guayas",78600,1635.21,213,"2015-09-01","Santo Domingo de los Tsachilas","Construccion",195626,183638,11988,6.13,339.83,1.91,83075.87
214,2025,"Azuay",228887,1249.52,214,"2015-09-01","Sucumbios","Agricultura",198120,185433,12687,6.4,375.79,2.98,86660.13
215,2026,"Guayas",283522,1752.45,215,"2015-09-01","Tungurahua","Comercio",208765,195126,13639,6.53,359.96,0.99,85444.36
216,2024,"Loja",346395,1227.4,216,"2015-09-01","Zamora Chinchipe","Agricultura",212998,199713,13285,6.24,342.06,0.87,86395.59
217,2025,"Guayas",70627,1560.83,217,"2015-10-01","Azuay","Manufactura",71874,67900,3974,5.53,368.1,4.5,84246.88
