"Período","Mes","año","Zona","Provincia","Cantón","Oeps / Ueps","Sector Productivo","Tipo de Acompañamiento","Servicio DPC","Detalle del Servicio","No. Beneficiarios","RowID","Periodo","Mes (Right)","Provincia (Right)","Sector_Productivo","Servicio_DPC","No_Beneficiarios","$oid"
"1. Trimestre","Marzo",2021,"4","SANTO DOMINGO DE LOS TSACHILAS","SANTO DOMINGO","OEPS","Textil","Asesoría Planes de Negocios","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",11,"Row60","1. Trimestre","Abril","IMBABURA","Agropecuario","Mejora Flujo Proceso",18,"6a5e8e8d453c93e2f72067ab"
"1. Trimestre","Febrero",2021,"5","SANTA ELENA","SALINAS","OEPS","Servicio Limpieza","Capacitación Educación Financiera","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",10,"Row61","2. Trimestre","Junio","LOJA","Servicios","Asistencia Técnica",49,"6a5e8e8d453c93e2f72067ac"
"1. Trimestre","Febrero",2021,"5","LOS RIOS","BABAHOYO","OEPS","Textil","Capacitación Educación Financiera","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",15,"Row62","3. Trimestre","Marzo","GUAYAS","Textil","Mejora Flujo Proceso",25,"6a5e8e8d453c93e2f72067ad"
"1. Trimestre","Marzo",2021,"5","SANTA ELENA","LA LIBERTAD","OEPS","Servicio Mantenimiento","Capacitación Educación Financiera","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",10,"Row63","2. Trimestre","Febrero","LOJA","Comercio","Obtención Producto",33,"6a5e8e8d453c93e2f72067ae"
"1. Trimestre","Febrero",2021,"6","AZUAY","PAUTE","OEPS","Servicio Catering","Mejora Flujo Proceso Productivo","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",42,"Row64","1. Trimestre","Enero","LOJA","Textil","Asistencia Técnica",54,"6a5e8e8d453c93e2f72067af"
"1. Trimestre","Febrero",2021,"6","AZUAY","CUENCA","OEPS","Textil","Elaboración Reglamento Interno","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",12,"Row65","4. Trimestre","Mayo","AZUAY","Comercio","Servicio Limpieza",75,"6a5e8e8d453c93e2f72067b0"
"1. Trimestre","Marzo",2021,"6","CAÑAR","LA TRONCAL","OEPS","Servicio Catering","Certificaciones INEN","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",34,"Row66","1. Trimestre","Abril","GUAYAS","Servicios","Mejora Flujo Proceso",84,"6a5e8e8d453c93e2f72067b1"
"1. Trimestre","Febrero",2021,"7","LOJA","LOJA","OEPS","Servicio Catering","Capacitación control insumos agrícolas","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",1,"Row67","4. Trimestre","Abril","LOJA","Textil","Obtención Producto",66,"6a5e8e8d453c93e2f72067b2"
"1. Trimestre","Febrero",2021,"7","LOJA","MACARA","OEPS","Servicio Limpieza","Capacitación control insumos agrícolas","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",3,"Row68","4. Trimestre","Febrero","LOJA","Comercio","Asistencia Técnica",93,"6a5e8e8d453c93e2f72067b3"
"1. Trimestre","Marzo",2021,"7","LOJA","LOJA","OEPS","Agroalimentario","Capacitación control insumos agrícolas","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",24,"Row69","3. Trimestre","Marzo","IMBABURA","Agropecuario","Mejora Flujo Proceso",98,"6a5e8e8d453c93e2f72067b4"
"1. Trimestre","Marzo",2021,"7","EL ORO","MACHALA","OEPS","Servicio Catering","Certificaciones de Calidad","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",1,"Row70","3. Trimestre","Abril","IMBABURA","Agropecuario","Asistencia Técnica",85,"6a5e8e8d453c93e2f72067b5"
"1. Trimestre","Febrero",2021,"8","GUAYAS","GUAYAQUIL","UEP","Textil","Asesoría Planes de Negocios","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",1,"Row71","3. Trimestre","Junio","GUAYAS","Agropecuario","Asistencia Técnica",70,"6a5e8e8d453c93e2f72067b6"
"1. Trimestre","Marzo",2021,"8","GUAYAS","GUAYAQUIL","OEPS","Servicio Limpieza","Capacitación Asesoría Tributaria","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",15,"Row72","3. Trimestre","Enero","PICHINCHA","Agropecuario","Mejora Flujo Proceso",46,"6a5e8e8d453c93e2f72067b7"
"1. Trimestre","Marzo",2021,"8","GUAYAS","GUAYAQUIL","UEP","Textil","Asesoría Planes de Negocios","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",1,"Row73","3. Trimestre","Febrero","LOJA","Comercio","Servicio Limpieza",88,"6a5e8e8d453c93e2f72067b8"
"1. Trimestre","Febrero",2021,"DMQ","PICHINCHA","QUITO","OEPS","Servicio Catering","Capacitación manipulación alimentos","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",10,"Row74","2. Trimestre","Febrero","IMBABURA","Servicios","Servicio Limpieza",55,"6a5e8e8d453c93e2f72067b9"
"1. Trimestre","Marzo",2021,"DMQ","PICHINCHA","QUITO","OEPS","Servicio Limpieza","Certificaciones de Calidad","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",27,"Row75","3. Trimestre","Febrero","AZUAY","Servicios","Servicio Limpieza",22,"6a5e8e8d453c93e2f72067ba"
"1. Trimestre","Marzo",2021,"DMQ","PICHINCHA","QUITO","OEPS","Servicio Limpieza","Certificaciones de Calidad","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",44,"Row76","1. Trimestre","Febrero","PICHINCHA","Agropecuario","Obtención Producto",29,"6a5e8e8d453c93e2f72067bb"
"1. Trimestre","Marzo",2021,"1","IMBABURA","IBARRA","OEPS","Servicio Limpieza","Certificaciones INEN","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",11,"Row77","3. Trimestre","Abril","IMBABURA","Comercio","Obtención Producto",30,"6a5e8e8d453c93e2f72067bc"
"1. Trimestre","Marzo",2021,"1","IMBABURA","IBARRA","OEPS","Textil","Certificaciones INEN","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",15,"Row78","3. Trimestre","Abril","AZUAY","Servicios","Mejora Flujo Proceso",85,"6a5e8e8d453c93e2f72067bd"
"1. Trimestre","Marzo",2021,"1","IMBABURA","IBARRA","OEPS","Agroalimentario","Certificaciones INEN","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",22,"Row79","3. Trimestre","Febrero","IMBABURA","Agropecuario","Servicio Limpieza",66,"6a5e8e8d453c93e2f72067be"
"1. Trimestre","Marzo",2021,"2","ORELLANA","ORELLANA","OEPS","Textil","Certificaciones INEN","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",27,"Row80","4. Trimestre","Febrero","GUAYAS","Agropecuario","Mejora Flujo Proceso",24,"6a5e8e8d453c93e2f72067bf"
