ID_Persona;Ciudad;Edad;Nivel_Educativo;Estado_Laboral;Ingreso_Mensual;Sector_Economico;Meses_Desempleado
59;Quito;58;Tecnologico;Empleado;1741.07;Tecnologia;0
60;Quito;59;Tecnologico;Desempleado;0.0;Ninguno;1
61;Cuenca;36;Secundaria;Desempleado;0.0;Ninguno;20
62;Manta;48;Secundaria;Subempleado;334.9;Agricultura;0
63;Cuenca;39;Secundaria;Subempleado;102.1;Tecnologia;0
64;Manta;23;Secundaria;Desempleado;0.0;Ninguno;13
65;Manta;45;Secundaria;Empleado;1866.86;Tecnologia;0
66;Cuenca;49;Tecnologico;Desempleado;0.0;Ninguno;24
67;Quito;60;Primaria;Subempleado;350.9;Manufactura;0
68;Manta;43;Tecnologico;Subempleado;423.43;Comercio;0
69;Quito;32;Tecnologico;Desempleado;0.0;Ninguno;21
70;Cuenca;57;Secundaria;Desempleado;0.0;Ninguno;1
71;Ambato;43;Secundaria;Desempleado;0.0;Ninguno;5
72;Ambato;18;Secundaria;Empleado;1947.47;Servicios;0
73;Cuenca;60;Primaria;Empleado;1827.94;Comercio;0
74;Quito;65;Universitario;Subempleado;101.67;Comercio;0
75;Manta;41;Secundaria;Subempleado;156.46;Comercio;0
76;Ambato;18;Tecnologico;Subempleado;331.96;Construccion;0
77;Quito;45;Tecnologico;Desempleado;0.0;Ninguno;32
78;Cuenca;57;Universitario;Desempleado;0.0;Ninguno;11
79;Quito;58;Universitario;Subempleado;237.41;Construccion;0
80;Guayaquil;32;Secundaria;Empleado;1942.03;Servicios;0
81;Cuenca;33;Tecnologico;Subempleado;345.28;Servicios;0
82;Quito;48;Tecnologico;Desempleado;0.0;Ninguno;18
83;Cuenca;23;Secundaria;Empleado;2348.34;Construccion;0
84;Guayaquil;50;Primaria;Desempleado;0.0;Ninguno;27
85;Guayaquil;57;Tecnologico;Subempleado;277.82;Manufactura;0
86;Quito;59;Tecnologico;Empleado;1150.3;Servicios;0
87;Cuenca;64;Universitario;Empleado;2426.44;Tecnologia;0
88;Ambato;63;Universitario;Desempleado;0.0;Ninguno;10
89;Ambato;29;Secundaria;Empleado;2040.97;Comercio;0
90;Ambato;31;Secundaria;Empleado;1162.16;Comercio;0
91;Manta;51;Tecnologico;Desempleado;0.0;Ninguno;12
92;Guayaquil;28;Tecnologico;Desempleado;0.0;Ninguno;32
93;Ambato;48;Secundaria;Desempleado;0.0;Ninguno;30
94;Guayaquil;34;Secundaria;Empleado;1488.17;Construccion;0
95;Cuenca;26;Tecnologico;Empleado;1091.12;Tecnologia;0
96;Manta;18;Tecnologico;Subempleado;381.25;Servicios;0
97;Manta;21;Tecnologico;Subempleado;357.18;Comercio;0
98;Guayaquil;26;Primaria;Subempleado;394.16;Comercio;0
99;Manta;29;Tecnologico;Subempleado;258.6;Agricultura;0
100;Manta;57;Universitario;Desempleado;0.0;Ninguno;22
101;Manta;19;Tecnologico;Desempleado;0.0;Ninguno;21
102;Manta;62;Universitario;Desempleado;0.0;Ninguno;8
103;Ambato;41;Secundaria;Empleado;1347.73;Servicios;0
104;Ambato;48;Secundaria;Subempleado;151.95;Comercio;0
105;Guayaquil;30;Tecnologico;Subempleado;401.69;Manufactura;0
106;Manta;64;Universitario;Subempleado;359.64;Comercio;0
107;Quito;56;Universitario;Empleado;1018.12;Construccion;0
108;Cuenca;58;Primaria;Desempleado;0.0;Ninguno;5
109;Guayaquil;64;Secundaria;Subempleado;326.19;Comercio;0
110;Cuenca;28;Secundaria;Desempleado;0.0;Ninguno;30
111;Manta;48;Secundaria;Empleado;1125.98;Manufactura;0
112;Quito;26;Secundaria;Empleado;1308.76;Comercio;0
113;Cuenca;26;Primaria;Subempleado;222.61;Servicios;0
114;Quito;28;Secundaria;Subempleado;407.4;Tecnologia;0
115;Guayaquil;32;Secundaria;Desempleado;0.0;Ninguno;6
116;Manta;22;Primaria;Subempleado;351.36;Tecnologia;0
117;Guayaquil;24;Primaria;Desempleado;0.0;Ninguno;9
118;Guayaquil;56;Universitario;Desempleado;0.0;Ninguno;13
119;Guayaquil;18;Primaria;Desempleado;0.0;Ninguno;3
120;Cuenca;63;Primaria;Subempleado;199.41;Manufactura;0
121;Quito;23;Secundaria;Subempleado;167.19;Agricultura;0
122;Cuenca;46;Universitario;Subempleado;141.22;Comercio;0
123;Guayaquil;47;Tecnologico;Empleado;1341.84;Construccion;0
124;Guayaquil;65;Universitario;Desempleado;0.0;Ninguno;22
125;Ambato;56;Secundaria;Subempleado;188.93;Comercio;0
126;Guayaquil;19;Universitario;Desempleado;0.0;Ninguno;16
127;Ambato;57;Secundaria;Empleado;533.39;Construccion;0
128;Quito;19;Primaria;Empleado;2489.74;Construccion;0
129;Quito;29;Universitario;Desempleado;0.0;Ninguno;29
130;Cuenca;55;Tecnologico;Subempleado;168.11;Agricultura;0
131;Cuenca;27;Primaria;Desempleado;0.0;Ninguno;33
132;Ambato;64;Universitario;Empleado;756.87;Tecnologia;0
133;Cuenca;63;Primaria;Subempleado;324.84;Tecnologia;0
134;Cuenca;34;Primaria;Subempleado;184.3;Comercio;0
135;Quito;51;Universitario;Desempleado;0.0;Ninguno;17
136;Quito;54;Primaria;Subempleado;438.02;Manufactura;0
137;Cuenca;36;Secundaria;Desempleado;0.0;Ninguno;33
138;Cuenca;45;Universitario;Subempleado;203.63;Construccion;0
139;Manta;49;Primaria;Empleado;1822.18;Agricultura;0
140;Cuenca;19;Secundaria;Subempleado;288.07;Agricultura;0
141;Quito;42;Secundaria;Empleado;988.09;Construccion;0
142;Manta;46;Tecnologico;Desempleado;0.0;Ninguno;21
143;Ambato;64;Tecnologico;Desempleado;0.0;Ninguno;7
144;Quito;22;Universitario;Desempleado;0.0;Ninguno;6
145;Quito;37;Universitario;Desempleado;0.0;Ninguno;8
146;Manta;40;Primaria;Empleado;2048.66;Comercio;0
147;Guayaquil;48;Secundaria;Desempleado;0.0;Ninguno;8
148;Manta;31;Tecnologico;Subempleado;393.12;Tecnologia;0
149;Quito;20;Primaria;Empleado;545.93;Agricultura;0
150;Cuenca;50;Tecnologico;Desempleado;0.0;Ninguno;21
151;Quito;40;Primaria;Empleado;2250.7;Servicios;0
152;Manta;47;Tecnologico;Subempleado;128.27;Construccion;0
153;Cuenca;24;Secundaria;Empleado;875.26;Agricultura;0
154;Cuenca;49;Tecnologico;Desempleado;0.0;Ninguno;4
155;Ambato;37;Secundaria;Empleado;2467.54;Comercio;0
156;Ambato;43;Universitario;Empleado;1327.96;Manufactura;0
157;Manta;65;Secundaria;Empleado;1913.75;Manufactura;0
158;Quito;62;Primaria;Subempleado;138.36;Comercio;0
159;Manta;49;Universitario;Desempleado;0.0;Ninguno;36
160;Ambato;29;Tecnologico;Subempleado;458.7;Comercio;0
161;Ambato;22;Universitario;Subempleado;223.01;Manufactura;0
162;Quito;31;Tecnologico;Desempleado;0.0;Ninguno;18
163;Cuenca;46;Primaria;Empleado;1029.22;Agricultura;0
164;Manta;63;Tecnologico;Subempleado;339.0;Comercio;0
165;Cuenca;31;Tecnologico;Empleado;2081.11;Servicios;0
166;Cuenca;52;Universitario;Desempleado;0.0;Ninguno;34
167;Manta;37;Universitario;Subempleado;281.55;Construccion;0
168;Quito;54;Tecnologico;Desempleado;0.0;Ninguno;10
169;Guayaquil;56;Primaria;Empleado;989.7;Tecnologia;0
170;Quito;18;Secundaria;Empleado;2316.8;Construccion;0
171;Manta;65;Primaria;Subempleado;187.52;Tecnologia;0
172;Cuenca;42;Universitario;Subempleado;138.98;Tecnologia;0
173;Cuenca;39;Secundaria;Desempleado;0.0;Ninguno;18
174;Quito;28;Tecnologico;Empleado;1202.78;Comercio;0
175;Ambato;30;Primaria;Empleado;1495.69;Manufactura;0
176;Manta;48;Tecnologico;Desempleado;0.0;Ninguno;26
177;Manta;56;Universitario;Desempleado;0.0;Ninguno;12
178;Cuenca;25;Secundaria;Subempleado;232.64;Manufactura;0
179;Quito;34;Primaria;Desempleado;0.0;Ninguno;30
180;Ambato;41;Primaria;Subempleado;430.23;Tecnologia;0
181;Manta;24;Primaria;Empleado;529.49;Agricultura;0
182;Guayaquil;22;Secundaria;Subempleado;241.41;Construccion;0
183;Guayaquil;23;Universitario;Desempleado;0.0;Ninguno;11
184;Manta;36;Primaria;Desempleado;0.0;Ninguno;32
185;Guayaquil;41;Universitario;Empleado;1121.87;Construccion;0
186;Cuenca;57;Tecnologico;Desempleado;0.0;Ninguno;13
187;Quito;47;Primaria;Desempleado;0.0;Ninguno;28
188;Ambato;55;Universitario;Subempleado;412.35;Servicios;0
189;Quito;50;Secundaria;Desempleado;0.0;Ninguno;9
190;Guayaquil;37;Universitario;Desempleado;0.0;Ninguno;34
191;Cuenca;43;Tecnologico;Desempleado;0.0;Ninguno;36
192;Ambato;29;Universitario;Empleado;2491.84;Tecnologia;0
193;Ambato;37;Primaria;Empleado;2318.04;Comercio;0
194;Guayaquil;21;Primaria;Subempleado;426.68;Agricultura;0
195;Quito;42;Tecnologico;Subempleado;131.6;Comercio;0
196;Cuenca;29;Universitario;Desempleado;0.0;Ninguno;9
197;Guayaquil;43;Universitario;Empleado;2381.78;Tecnologia;0
198;Quito;32;Secundaria;Desempleado;0.0;Ninguno;10
199;Quito;21;Tecnologico;Empleado;1250.43;Agricultura;0
200;Manta;41;Universitario;Subempleado;395.69;Comercio;0
201;Guayaquil;32;Primaria;Subempleado;152.66;Tecnologia;0
202;Cuenca;32;Universitario;Subempleado;377.87;Servicios;0
203;Quito;32;Secundaria;Subempleado;326.21;Manufactura;0
204;Guayaquil;39;Primaria;Empleado;2357.7;Tecnologia;0
205;Ambato;65;Universitario;Desempleado;0.0;Ninguno;35
206;Cuenca;19;Universitario;Subempleado;273.13;Servicios;0
207;Manta;35;Universitario;Subempleado;379.18;Tecnologia;0
208;Guayaquil;46;Secundaria;Empleado;1597.46;Tecnologia;0
209;Cuenca;19;Secundaria;Empleado;1866.49;Servicios;0
210;Quito;38;Primaria;Subempleado;357.13;Construccion;0
211;Manta;53;Universitario;Subempleado;423.7;Construccion;0
212;Ambato;53;Tecnologico;Subempleado;411.13;Agricultura;0
213;Ambato;28;Primaria;Desempleado;0.0;Ninguno;15
214;Manta;44;Secundaria;Subempleado;282.01;Manufactura;0
215;Manta;51;Universitario;Subempleado;390.33;Tecnologia;0
216;Guayaquil;40;Tecnologico;Subempleado;319.8;Construccion;0
217;Guayaquil;49;Universitario;Desempleado;0.0;Ninguno;22
218;Quito;54;Primaria;Empleado;1180.71;Manufactura;0
219;Manta;58;Tecnologico;Desempleado;0.0;Ninguno;8
220;Guayaquil;41;Primaria;Subempleado;133.44;Construccion;0
221;Quito;56;Secundaria;Desempleado;0.0;Ninguno;33
222;Cuenca;37;Universitario;Desempleado;0.0;Ninguno;12
223;Ambato;25;Secundaria;Desempleado;0.0;Ninguno;23
224;Manta;27;Secundaria;Subempleado;111.0;Comercio;0
225;Quito;25;Universitario;Empleado;2251.47;Servicios;0
226;Cuenca;64;Primaria;Empleado;2355.39;Construccion;0
227;Ambato;42;Universitario;Subempleado;182.3;Servicios;0
228;Ambato;54;Universitario;Desempleado;0.0;Ninguno;31
229;Guayaquil;30;Universitario;Empleado;1195.47;Agricultura;0
230;Quito;55;Tecnologico;Desempleado;0.0;Ninguno;26
231;Cuenca;22;Primaria;Empleado;1696.99;Comercio;0
232;Quito;48;Secundaria;Desempleado;0.0;Ninguno;17
233;Quito;59;Tecnologico;Desempleado;0.0;Ninguno;36
234;Manta;24;Tecnologico;Empleado;1738.56;Construccion;0
235;Cuenca;43;Tecnologico;Empleado;2145.92;Agricultura;0
236;Manta;65;Tecnologico;Empleado;843.73;Servicios;0
237;Ambato;58;Primaria;Empleado;2360.14;Servicios;0
238;Cuenca;36;Universitario;Subempleado;139.5;Servicios;0
239;Ambato;26;Secundaria;Empleado;1815.22;Tecnologia;0
240;Manta;28;Secundaria;Empleado;1966.6;Tecnologia;0
241;Ambato;36;Universitario;Desempleado;0.0;Ninguno;36
242;Manta;25;Secundaria;Subempleado;317.69;Agricultura;0
243;Cuenca;46;Secundaria;Desempleado;0.0;Ninguno;26
244;Guayaquil;23;Universitario;Empleado;1961.3;Comercio;0
245;Guayaquil;60;Tecnologico;Empleado;1704.38;Comercio;0
246;Quito;49;Tecnologico;Desempleado;0.0;Ninguno;6
247;Quito;20;Universitario;Subempleado;230.66;Construccion;0
248;Quito;23;Secundaria;Subempleado;346.93;Comercio;0
249;Ambato;64;Secundaria;Empleado;1853.83;Construccion;0
250;Guayaquil;32;Secundaria;Empleado;1994.08;Servicios;0
251;Ambato;33;Universitario;Subempleado;112.78;Tecnologia;0
252;Manta;25;Secundaria;Empleado;562.68;Manufactura;0
253;Ambato;26;Universitario;Empleado;1354.21;Manufactura;0
254;Manta;56;Universitario;Empleado;2283.14;Construccion;0
255;Quito;44;Secundaria;Empleado;1229.31;Agricultura;0
256;Manta;43;Secundaria;Subempleado;295.13;Tecnologia;0
257;Cuenca;44;Tecnologico;Desempleado;0.0;Ninguno;26
258;Manta;51;Secundaria;Desempleado;0.0;Ninguno;1
259;Manta;43;Tecnologico;Desempleado;0.0;Ninguno;35
260;Manta;27;Primaria;Subempleado;183.31;Manufactura;0
261;Guayaquil;50;Tecnologico;Desempleado;0.0;Ninguno;7
262;Cuenca;46;Universitario;Empleado;1888.17;Construccion;0
263;Manta;48;Tecnologico;Empleado;2447.18;Agricultura;0
264;Guayaquil;24;Tecnologico;Subempleado;417.7;Servicios;0
265;Cuenca;23;Tecnologico;Empleado;2423.89;Construccion;0
266;Ambato;34;Secundaria;Empleado;1131.79;Servicios;0
267;Cuenca;37;Primaria;Desempleado;0.0;Ninguno;34
268;Ambato;44;Secundaria;Desempleado;0.0;Ninguno;16
269;Ambato;57;Universitario;Desempleado;0.0;Ninguno;3
270;Manta;60;Universitario;Subempleado;108.52;Servicios;0
271;Guayaquil;58;Primaria;Empleado;2468.44;Tecnologia;0
272;Manta;27;Universitario;Empleado;1210.78;Tecnologia;0
273;Manta;32;Secundaria;Desempleado;0.0;Ninguno;23
274;Manta;28;Secundaria;Subempleado;197.72;Comercio;0
275;Quito;54;Secundaria;Desempleado;0.0;Ninguno;1
276;Cuenca;35;Secundaria;Subempleado;456.55;Construccion;0
277;Cuenca;23;Tecnologico;Empleado;1999.83;Tecnologia;0
278;Guayaquil;49;Secundaria;Empleado;1090.36;Manufactura;0
279;Manta;48;Primaria;Empleado;580.5;Agricultura;0
280;Ambato;43;Secundaria;Subempleado;160.54;Manufactura;0
281;Cuenca;62;Primaria;Subempleado;437.14;Tecnologia;0
282;Quito;54;Primaria;Desempleado;0.0;Ninguno;28
283;Quito;61;Secundaria;Subempleado;411.62;Servicios;0
284;Ambato;28;Universitario;Desempleado;0.0;Ninguno;34
285;Cuenca;21;Universitario;Desempleado;0.0;Ninguno;14
286;Quito;32;Secundaria;Desempleado;0.0;Ninguno;32
287;Manta;30;Primaria;Desempleado;0.0;Ninguno;27
288;Guayaquil;58;Tecnologico;Subempleado;210.02;Construccion;0
289;Manta;56;Universitario;Empleado;1502.2;Tecnologia;0
290;Cuenca;26;Universitario;Subempleado;326.01;Tecnologia;0
291;Guayaquil;37;Tecnologico;Subempleado;142.45;Comercio;0
292;Quito;20;Secundaria;Desempleado;0.0;Ninguno;21
293;Cuenca;49;Tecnologico;Empleado;955.94;Tecnologia;0
294;Quito;40;Tecnologico;Subempleado;296.55;Tecnologia;0
295;Manta;36;Primaria;Subempleado;140.51;Manufactura;0
296;Guayaquil;59;Secundaria;Desempleado;0.0;Ninguno;15
297;Quito;35;Secundaria;Desempleado;0.0;Ninguno;31
298;Guayaquil;53;Tecnologico;Empleado;1280.73;Construccion;0
299;Guayaquil;53;Universitario;Empleado;1141.61;Construccion;0
300;Ambato;62;Primaria;Desempleado;0.0;Ninguno;30
301;Cuenca;60;Secundaria;Empleado;1276.35;Servicios;0
302;Quito;20;Universitario;Subempleado;129.18;Manufactura;0
303;Manta;51;Primaria;Empleado;2002.45;Construccion;0
304;Manta;64;Secundaria;Desempleado;0.0;Ninguno;2
305;Guayaquil;18;Secundaria;Empleado;684.31;Comercio;0
306;Ambato;53;Secundaria;Empleado;781.4;Tecnologia;0
307;Ambato;18;Primaria;Desempleado;0.0;Ninguno;17
308;Guayaquil;37;Universitario;Subempleado;215.56;Servicios;0
309;Quito;33;Primaria;Empleado;1713.4;Manufactura;0
310;Cuenca;65;Universitario;Desempleado;0.0;Ninguno;26
311;Ambato;63;Universitario;Desempleado;0.0;Ninguno;32
312;Ambato;63;Universitario;Subempleado;158.03;Construccion;0
313;Guayaquil;62;Universitario;Subempleado;354.27;Comercio;0
314;Manta;19;Tecnologico;Subempleado;441.73;Agricultura;0
315;Cuenca;36;Primaria;Empleado;1683.0;Construccion;0
316;Ambato;50;Universitario;Desempleado;0.0;Ninguno;19
317;Guayaquil;42;Universitario;Empleado;1508.06;Servicios;0
318;Ambato;28;Universitario;Subempleado;287.21;Comercio;0
319;Cuenca;19;Universitario;Subempleado;219.06;Tecnologia;0
320;Guayaquil;31;Tecnologico;Subempleado;155.91;Comercio;0
321;Cuenca;49;Secundaria;Desempleado;0.0;Ninguno;30
322;Ambato;65;Secundaria;Empleado;587.41;Manufactura;0
323;Manta;55;Primaria;Desempleado;0.0;Ninguno;33
324;Cuenca;59;Primaria;Subempleado;163.58;Comercio;0
325;Quito;31;Secundaria;Subempleado;347.86;Construccion;0
326;Ambato;61;Secundaria;Empleado;1289.7;Tecnologia;0
327;Ambato;57;Secundaria;Subempleado;156.62;Manufactura;0
328;Quito;60;Primaria;Empleado;991.24;Manufactura;0
329;Quito;40;Universitario;Subempleado;189.81;Manufactura;0
330;Guayaquil;55;Universitario;Empleado;1229.55;Construccion;0
331;Manta;41;Universitario;Empleado;2426.43;Servicios;0
332;Quito;25;Secundaria;Subempleado;456.42;Construccion;0
333;Manta;62;Secundaria;Subempleado;118.21;Construccion;0
334;Quito;46;Secundaria;Subempleado;191.93;Servicios;0
335;Manta;57;Secundaria;Empleado;2456.53;Agricultura;0
336;Quito;26;Tecnologico;Subempleado;420.4;Comercio;0
337;Cuenca;46;Secundaria;Subempleado;282.9;Manufactura;0
338;Cuenca;41;Universitario;Empleado;578.07;Servicios;0
339;Manta;54;Tecnologico;Desempleado;0.0;Ninguno;21
340;Guayaquil;58;Tecnologico;Subempleado;217.0;Tecnologia;0
341;Quito;30;Primaria;Empleado;1298.06;Tecnologia;0
342;Manta;30;Tecnologico;Empleado;1912.34;Manufactura;0
343;Manta;25;Tecnologico;Subempleado;308.11;Manufactura;0
344;Quito;18;Secundaria;Empleado;1436.63;Comercio;0
345;Cuenca;20;Secundaria;Empleado;1206.01;Manufactura;0
346;Ambato;38;Primaria;Empleado;2091.78;Agricultura;0
347;Ambato;63;Secundaria;Empleado;1106.16;Agricultura;0
348;Cuenca;59;Secundaria;Subempleado;164.13;Construccion;0
349;Guayaquil;63;Primaria;Subempleado;194.12;Tecnologia;0
350;Cuenca;63;Tecnologico;Empleado;1938.53;Manufactura;0
351;Cuenca;43;Primaria;Subempleado;430.16;Servicios;0
352;Ambato;57;Primaria;Empleado;629.4;Manufactura;0
353;Manta;34;Secundaria;Desempleado;0.0;Ninguno;8
354;Guayaquil;46;Universitario;Empleado;890.47;Comercio;0
355;Manta;18;Universitario;Subempleado;309.55;Servicios;0
356;Cuenca;61;Universitario;Desempleado;0.0;Ninguno;23
357;Ambato;59;Tecnologico;Empleado;1813.83;Construccion;0
358;Guayaquil;53;Secundaria;Subempleado;399.31;Manufactura;0
359;Guayaquil;56;Secundaria;Desempleado;0.0;Ninguno;35
360;Cuenca;38;Universitario;Empleado;1454.98;Tecnologia;0
361;Manta;41;Universitario;Subempleado;119.24;Manufactura;0
362;Ambato;50;Universitario;Empleado;2456.18;Agricultura;0
363;Cuenca;18;Tecnologico;Empleado;2332.01;Agricultura;0
364;Cuenca;38;Universitario;Empleado;1520.62;Servicios;0
365;Manta;54;Primaria;Desempleado;0.0;Ninguno;19
366;Cuenca;41;Tecnologico;Subempleado;365.18;Construccion;0
367;Manta;39;Primaria;Subempleado;297.32;Servicios;0
368;Manta;48;Primaria;Empleado;722.64;Construccion;0
369;Quito;54;Tecnologico;Subempleado;401.67;Manufactura;0
370;Manta;31;Secundaria;Empleado;1440.91;Servicios;0
371;Ambato;18;Universitario;Subempleado;336.67;Manufactura;0
372;Quito;47;Universitario;Subempleado;297.22;Tecnologia;0
373;Ambato;59;Primaria;Desempleado;0.0;Ninguno;32
374;Guayaquil;27;Tecnologico;Empleado;2194.46;Comercio;0
375;Cuenca;19;Tecnologico;Desempleado;0.0;Ninguno;26
376;Quito;60;Secundaria;Subempleado;159.37;Servicios;0
377;Manta;60;Universitario;Empleado;1843.22;Construccion;0
378;Ambato;55;Primaria;Empleado;1972.11;Construccion;0
379;Cuenca;55;Primaria;Subempleado;136.5;Tecnologia;0
380;Ambato;58;Secundaria;Desempleado;0.0;Ninguno;33
381;Cuenca;18;Universitario;Empleado;1770.88;Manufactura;0
382;Manta;62;Universitario;Empleado;846.63;Manufactura;0
383;Quito;50;Primaria;Empleado;537.04;Manufactura;0
384;Manta;49;Tecnologico;Subempleado;293.02;Comercio;0
385;Quito;19;Universitario;Desempleado;0.0;Ninguno;33
386;Ambato;18;Universitario;Empleado;1023.89;Comercio;0
387;Guayaquil;59;Universitario;Empleado;1795.99;Manufactura;0
388;Cuenca;47;Secundaria;Desempleado;0.0;Ninguno;27
389;Quito;63;Tecnologico;Desempleado;0.0;Ninguno;16
390;Quito;20;Universitario;Empleado;2078.63;Comercio;0
391;Manta;23;Universitario;Empleado;1836.07;Manufactura;0
392;Guayaquil;49;Tecnologico;Empleado;2368.34;Tecnologia;0
393;Manta;51;Tecnologico;Subempleado;237.02;Tecnologia;0
394;Manta;19;Tecnologico;Empleado;1539.86;Agricultura;0
395;Cuenca;64;Tecnologico;Desempleado;0.0;Ninguno;23
396;Cuenca;64;Secundaria;Desempleado;0.0;Ninguno;31
397;Manta;38;Universitario;Desempleado;0.0;Ninguno;34
398;Cuenca;48;Primaria;Empleado;1352.65;Construccion;0
399;Ambato;56;Universitario;Empleado;1762.66;Manufactura;0
400;Guayaquil;53;Primaria;Empleado;1640.31;Servicios;0
401;Manta;33;Primaria;Empleado;618.6;Tecnologia;0
402;Ambato;32;Secundaria;Empleado;1926.2;Servicios;0
403;Quito;25;Secundaria;Subempleado;316.1;Manufactura;0
404;Quito;24;Primaria;Empleado;1984.17;Comercio;0
405;Cuenca;23;Secundaria;Subempleado;392.97;Manufactura;0
406;Ambato;63;Tecnologico;Subempleado;177.7;Comercio;0
407;Guayaquil;32;Universitario;Subempleado;341.22;Comercio;0
408;Manta;65;Primaria;Empleado;1608.7;Tecnologia;0
409;Guayaquil;51;Secundaria;Desempleado;0.0;Ninguno;28
410;Ambato;32;Primaria;Subempleado;120.35;Construccion;0
411;Cuenca;30;Universitario;Subempleado;172.9;Construccion;0
412;Quito;40;Primaria;Desempleado;0.0;Ninguno;15
413;Ambato;55;Secundaria;Desempleado;0.0;Ninguno;20
414;Ambato;42;Primaria;Desempleado;0.0;Ninguno;23
415;Quito;47;Tecnologico;Subempleado;230.31;Construccion;0
416;Ambato;31;Primaria;Empleado;2019.64;Agricultura;0
417;Cuenca;20;Primaria;Empleado;999.65;Servicios;0
418;Manta;22;Primaria;Empleado;2282.49;Comercio;0
419;Manta;39;Universitario;Desempleado;0.0;Ninguno;13
420;Cuenca;18;Secundaria;Subempleado;173.02;Manufactura;0
421;Quito;31;Universitario;Desempleado;0.0;Ninguno;14
422;Manta;25;Tecnologico;Empleado;1616.61;Construccion;0
423;Guayaquil;56;Universitario;Desempleado;0.0;Ninguno;1
424;Manta;47;Universitario;Empleado;1290.27;Agricultura;0
425;Manta;51;Primaria;Desempleado;0.0;Ninguno;26
